Age,Education,YearsExperience,CurrentIndustry,NewIndustry,SalaryDiffPct,Certification,SoftSkillsScore,HardSkillsScore,ManagerialExperience,ProgramInvolvement,TimeToTransitionMonths,SuccessfulTransition
60,Bachelor,39,IT,IT,0.92,1,5,10,1,0,3.1,0
50,Bachelor,28,Finance,Finance,15.61,0,4,10,1,0,1.7,0
36,High School,17,Consulting,Consulting,2.48,1,4,9,1,0,1.3,0
29,Bachelor,9,IT,IT,26.74,0,8,10,0,1,1.0,0
42,Bachelor,18,IT,Consulting,20.81,0,3,9,0,1,3.9,0
60,Bachelor,39,Education,Manufacturing,17.53,1,10,10,0,0,1.3,0
40,High School,17,Consulting,Consulting,16.16,0,5,8,0,1,3.2,0
44,Bachelor,20,Consulting,Consulting,4.71,1,10,8,1,0,1.0,0
32,Bachelor,9,IT,IT,-2.8,0,5,9,1,0,1.8,0
32,Master,13,Manufacturing,Manufacturing,-3.02,1,8,9,0,1,2.9,0
45,High School,20,Education,Education,10.51,0,7,9,1,0,2.3,0
57,Bachelor,33,Education,Education,5.11,1,10,10,1,0,1.3,0
45,High School,24,Healthcare,Healthcare,-11.46,1,7,10,0,0,4.1,0
24,Master,0,Consulting,Consulting,15.13,0,9,5,1,0,3.0,0
43,Master,19,IT,IT,-2.18,1,3,7,0,1,1.0,0
23,Bachelor,0,Healthcare,Healthcare,-1.6,1,3,9,0,0,2.3,0
45,Bachelor,25,Retail,Retail,9.58,1,6,10,0,1,2.5,0
51,Master,27,Finance,IT,6.61,0,8,10,0,0,1.5,0
59,Bachelor,36,Education,Finance,32.84,1,7,10,0,0,1.0,0
23,Bachelor,0,Retail,Retail,-0.6,1,4,8,0,0,3.7,0
42,Bachelor,23,Retail,Retail,11.82,1,5,10,0,1,3.0,0
54,High School,32,Manufacturing,Manufacturing,2.25,1,3,10,0,0,1.0,0
33,Master,9,Finance,Retail,16.82,1,10,5,0,1,1.2,0
43,Master,22,Retail,Retail,9.65,0,5,8,0,1,3.7,0
46,Bachelor,22,Retail,Retail,10.57,1,5,8,0,0,2.2,0
48,Bachelor,27,Finance,Finance,11.92,1,6,10,0,1,1.0,0
49,Bachelor,26,Finance,Finance,25.97,0,7,5,0,1,4.2,0
37,Master,16,Retail,Retail,7.47,1,3,10,0,1,3.8,0
36,Master,14,Finance,Finance,11.27,1,5,8,0,0,3.2,0
24,Master,0,Retail,Retail,18.67,1,3,10,0,0,3.6,0
58,Master,37,Retail,Retail,14.71,1,4,10,1,0,3.9,0
28,Bachelor,7,Manufacturing,IT,15.93,1,6,8,0,0,2.4,0
42,High School,17,IT,IT,1.29,1,4,6,0,0,1.0,0
30,High School,8,Retail,Education,8.88,1,3,7,1,1,5.3,0
60,Master,36,Healthcare,Retail,26.71,0,9,10,1,0,1.9,0
39,Bachelor,18,Education,Education,12.23,1,10,6,1,0,1.9,0
25,High School,0,Consulting,IT,11.38,1,3,9,1,1,1.7,0
46,High School,23,IT,IT,2.97,1,7,6,0,1,5.2,0
35,Bachelor,10,IT,Finance,-7.82,0,5,10,0,0,3.1,0
30,High School,7,IT,Finance,9.6,0,5,10,0,1,4.6,0
47,High School,25,Manufacturing,Manufacturing,31.73,0,4,9,0,0,4.6,0
23,Bachelor,0,Retail,Retail,25.63,0,10,8,0,0,1.4,1
41,Bachelor,16,Manufacturing,Finance,30.98,1,6,8,0,1,1.0,0
49,Bachelor,30,Retail,Retail,23.91,0,9,10,0,0,1.0,1
28,Bachelor,9,Manufacturing,Manufacturing,-10.08,1,8,10,1,0,1.0,0
29,Master,9,Manufacturing,Manufacturing,20.67,1,10,8,1,0,3.3,0
