client_id,nps_score,response_time_hrs,escalations,satisfied
1,24,83.21,155.09,0
2,78,237.25,26.85,0
3,67,261.17,117.16,0
4,61,477.98,321.35,1
5,79,444.23,229.43,1
6,38,223.93,490.23,1
7,84,392.02,312.82,1
8,45,234.35,320.48,1
9,92,390.87,252.59,1
10,43,218.91,76.46,0
11,46,374.24,425.61,1
12,49,458.94,68.08,0
13,44,236.71,31.18,0
14,80,499.07,390.7,1
15,34,210.05,13.83,0
16,26,211.64,413.89,1
17,88,495.01,220.92,1
18,48,454.36,472.3,1
19,35,320.0,169.62,0
20,79,313.99,433.42,1
21,74,370.6,424.98,1
22,76,170.25,311.01,0
23,75,235.44,428.13,1
24,65,365.66,483.46,1
25,92,448.95,307.5,1
26,29,381.28,359.97,1
27,77,230.63,109.95,0
28,46,299.05,172.3,0
29,70,170.97,321.25,0
30,85,258.13,287.55,1
31,53,82.62,466.15,1
32,93,67.68,477.25,1
33,35,231.56,440.12,1
34,73,415.03,72.9,0
35,30,85.72,382.56,0
36,32,484.41,383.55,1
37,23,193.34,329.62,0
38,85,272.44,236.3,1
39,33,77.65,374.77,0
40,32,80.7,412.04,0
41,54,158.71,430.8,1
42,45,123.22,109.35,0
43,39,462.63,86.83,1
44,46,257.4,64.53,0
45,44,345.97,47.14,0
46,49,288.28,403.93,1
47,67,65.25,442.96,0
48,28,130.8,288.87,0
49,61,336.97,367.75,1
50,33,370.19,354.48,1
51,61,199.74,433.87,1
52,76,277.08,100.8,0
53,45,144.18,348.55,0
54,25,222.58,498.55,1
55,92,354.0,463.33,1
56,49,275.32,310.29,1
57,54,110.37,363.1,0
58,20,68.65,485.92,0
59,94,344.37,132.55,0
60,54,376.55,449.33,1
61,74,98.35,244.64,0
62,26,405.94,78.78,0
63,47,182.27,221.42,0
64,22,445.31,196.83,1
65,71,106.92,156.02,0
66,80,480.33,65.26,1
67,45,447.15,418.88,1
68,35,129.15,487.04,1
69,23,284.12,322.36,1
70,80,498.34,302.19,1
71,90,352.76,193.63,1
72,40,111.12,259.8,0
73,52,407.86,188.94,1
74,80,63.56,178.94,0
75,51,222.54,201.8,0
76,53,487.84,199.21,1
77,82,348.63,171.83,1
78,70,233.44,433.32,1
